Vote by County,Trump,Clinton,Rpt.,State
Comanche,19153,11439,100%,OK
Warrick,19133,9086,100%,IN
Story,19111,25085,100%,IA
DeKalb,19051,20348,100%,IL
Chemung,19025,12394,100%,NY
Putnam,18981,6847,100%,TN
Walker,18938,4213,100%,GA
Liberty,18856,4851,100%,TX
Haywood,18844,10414,100%,NC
York,18823,12989,100%,VA
Butler,18781,6489,100%,KS
Sumter,18733,24024,100%,SC
Carbon,18714,8917,100%,PA
Harrison,18712,7130,100%,TX
Harrison,18687,7675,100%,WV
Cattaraugus,18668,8717,100%,NY
Ward,18601,5792,100%,ND
Vermilion,18582,9876,100%,IL
Knox,18563,7959,100%,OH
Franklin,18560,7254,100%,VA
Greene,18538,4211,100%,TN
Lamar,18493,5044,100%,MS
Merced,18486,21856,100%,CA
Grant,18482,7768,95%,WA
St. Lawrence,18450,14659,100%,NY
Chisago,18441,9279,100%,MN
Van Zandt,18436,2792,100%,TX
Orange,18373,59105,100%,NC
Polk,18333,15741,100%,OR
Monongalia,18278,14568,100%,WV
Island,18259,20766,100%,WA
Warwick,18252,19943,100%,RI
Taney,18240,4367,100%,MO
Lawrence,18240,6849,100%,OH
Navajo,18165,15362,100%,AZ
Shelby,18148,4143,100%,OH
Auglaize,18130,3825,100%,OH
Lincoln,18111,5561,100%,MO
Autauga,18110,5908,100%,AL
Dearborn,18110,4883,100%,IN
Lynchburg,17979,14787,100%,VA
Bradford,17957,6263,100%,PA
Chippewa,17912,11875,100%,WI
Van Buren,17890,13258,100%,MI
Effingham,17865,4851,100%,GA
Ross,17833,9905,100%,OH
Pottawatomie,17826,6005,100%,OK
Hampton,17802,41030,100%,VA
Coos,17699,10355,100%,OR
Kerr,17658,4665,100%,TX
Worcester,17634,42534,100%,MA
Union,17601,7530,100%,OH
Loudon,17588,4916,100%,TN
Lauderdale,17574,10910,100%,MS
Hawaii,17500,41258,100%,HI
Nashua,17476,22690,100%,NH
St. Francois,17467,6250,100%,MO
Kershaw,17464,10293,100%,SC
Putnam,17455,5784,100%,WV
Kings,17446,12902,100%,CA
Tuscola,17421,7493,100%,MI
Wilson,17410,19527,100%,NC
Douglas,17406,8453,100%,NV
Leavenworth,17387,10064,100%,KS
Columbia,17387,8502,100%,PA
Mercer,17362,4689,100%,WV
Georgetown,17334,13234,100%,SC
Pender,17317,9086,100%,NC
Portage,17310,18524,100%,WI
Grady,17293,3878,100%,OK
Suffolk,17206,23012,100%,VA
Mercer,17200,3335,100%,OH
Bannock,17180,10342,100%,ID
Ashland,17169,5659,100%,OH
Chatham,17012,20953,100%,NC
Grant,17009,7029,100%,IN
Stokes,16976,4645,100%,NC
Montcalm,16907,7874,100%,MI
Carter,16897,3453,100%,TN
Tipton,16893,5779,100%,TN
Greenwood,16881,10633,100%,SC
St. Martin,16872,8266,100%,LA
Sutter,16780,11831,100%,CA
Umatilla,16775,7466,100%,OR
Laurens,16770,8845,100%,SC
Camden,16721,4706,100%,MO
Colbert,16718,7296,100%,AL
Lewis and Clark,16665,14331,100%,MT
Crawford,16655,4476,100%,AR
Payne,16644,8785,100%,OK
Jackson,16643,3663,100%,AL
Cache,16643,6705,82%,UT
St. Charles,16620,8558,100%,LA
Hawkins,16611,3502,100%,TN
Coconino,16573,25308,100%,AZ
Marion,16563,7748,100%,OH
Pickaway,16482,6325,100%,OH
Ionia,16374,8206,100%,MI
Grand Forks,16325,10828,100%,ND
Franklin,16320,12811,100%,NC
Bastrop,16314,10555,100%,TX
Lewis,16273,7236,74%,WA
Salem,16256,11766,100%,NJ
Stamford,16223,34148,100%,CT
Queen Anne's,16211,7316,100%,MD
Cayuga,16194,12202,100%,NY
Sandusky,16045,9733,100%,OH
Roanoke City,16045,23403,100%,VA
Pike,16035,9247,100%,PA
Wayne,16028,8322,100%,IN
Waupaca,16013,8303,100%,WI
Lyon,16005,6146,100%,NV
Garfield,15998,4391,100%,OK
Genesee,15986,6946,100%,NY
Huron,15930,7080,100%,OH
Worcester,15910,8783,100%,MD
