Vote by County,Trump,Clinton,Rpt.,State
Martin,3503,363,100%,KY
St. Clair,3501,936,100%,MO
Montmorency,3498,1286,100%,MI
Metcalfe,3491,976,100%,KY
Cromwell,3486,3808,100%,CT
Hampton,3483,5163,100%,SC
McIntosh,3482,2298,100%,GA
Carroll,3480,745,100%,MO
Catahoula,3479,1322,100%,LA
Charlotte,3479,2153,100%,VA
Luna,3478,3195,100%,NM
Johnson,3477,638,100%,WY
Bertie,3476,5837,100%,NC
Woodbury,3474,2646,100%,CT
Fulton,3470,1067,100%,AR
Calhoun,3466,1396,100%,IA
Colusa,3464,2518,100%,CA
Grundy,3462,780,100%,MO
Live Oak,3450,739,100%,TX
Hill,3446,2350,100%,MT
Summers,3444,1186,100%,WV
Morris,3443,1425,100%,TX
Hamilton,3439,1899,100%,FL
Falls,3438,1682,100%,TX
Winnebago,3437,1920,100%,IA
Platte,3437,719,100%,WY
Longmeadow,3433,5272,100%,MA
Millbury,3432,3138,100%,MA
Montgomery,3431,1312,100%,IA
Ashland,3428,4136,100%,WI
Clinton,3415,3493,100%,CT
Conecuh,3413,3069,100%,AL
Sublette,3409,644,100%,WY
Emery,3402,379,92%,UT
West Feliciana,3390,2247,100%,LA
Hughes,3387,961,100%,OK
Keokuk,3385,1265,100%,IA
Yellow Medicine,3382,1524,100%,MN
La Paz,3381,1318,100%,AZ
McLean,3381,988,100%,KY
Linn,3377,721,100%,KS
Coosa,3376,1780,100%,AL
Ritchie,3376,490,100%,WV
Walthall,3374,2475,100%,MS
Lakeville,3373,2464,100%,MA
Heard,3370,743,100%,GA
Yalobusha,3366,2574,100%,MS
Bacon,3356,607,100%,GA
Butte,3355,693,100%,SD
Somers,3350,2125,100%,CT
Blackford,3349,1243,100%,IN
Madison,3349,881,100%,TX
Crook,3347,271,100%,WY
Stafford,3344,2286,100%,CT
Lewis,3343,933,100%,MO
Blaine,3340,6416,100%,ID
Pipestone,3338,1127,100%,MN
Meigs,3337,856,100%,TN
Los Alamos,3329,5443,100%,NM
Nowata,3321,742,100%,OK
Screven,3305,2300,100%,GA
Warren,3302,6668,100%,NC
Dawson,3298,786,100%,MT
Shoshone,3297,1384,100%,ID
Crittenden,3290,617,100%,KY
Harwich,3290,4530,100%,MA
Custer,3290,1120,100%,SD
Exeter,3286,5514,100%,NH
Washington,3283,776,100%,ID
Sevier,3281,1075,100%,AR
Madison,3280,1175,100%,MT
Narragansett,3280,4185,100%,RI
Lexington,3278,13895,100%,MA
Howard,3277,1279,100%,MO
Amherst,3271,3777,100%,NH
Jackson,3262,1583,100%,AR
Cambridge,3262,44835,100%,MA
York,3260,4929,100%,ME
Graham,3260,761,100%,NC
Cameron,3256,323,100%,LA
South Hadley,3254,5175,100%,MA
Gunnison,3250,5068,100%,CO
Marshall,3250,1060,100%,KS
Beaverhead,3243,1115,100%,MT
Runnels,3241,452,100%,TX
North Smithfield,3232,2566,100%,RI
Caldwell,3231,837,100%,MO
Jackson,3229,1129,100%,TN
Hood River,3223,6359,100%,OR
Cass,3216,1617,100%,IL
Ramsey,3216,1505,100%,ND
Marshall,3208,1225,100%,MN
Somervell,3206,540,100%,TX
Lunenburg,3206,2226,100%,VA
Hamilton,3205,800,100%,IL
Westwood,3203,5273,100%,MA
Keith,3203,560,100%,NE
Camp,3201,1260,100%,TX
Amesbury,3197,5122,100%,MA
Saint Francis,3195,4031,100%,AR
Carver,3192,2507,100%,MA
Grant,3187,732,100%,OR
Hampstead,3186,1966,100%,NH
Dade,3184,637,100%,MO
Knox,3181,715,100%,NE
Mitchell,3180,1879,100%,IA
Cibola,3179,3721,100%,NM
Coleman,3177,387,100%,TX
Wellesley,3176,10170,100%,MA
Iron,3173,933,100%,MO
Hale,3172,4772,100%,AL
Wilbarger,3166,807,100%,TX
Tyngsborough,3163,3058,100%,MA
Ballard,3161,816,100%,KY
Lake,3159,1939,100%,MI
Monroe,3159,853,100%,MO
Barnes,3156,1597,100%,ND
Morgan,3156,572,100%,UT
Howard,3155,1350,100%,AR
Franklin,3153,1490,100%,IA
Raymond,3151,1921,100%,NH
Pike,3150,684,100%,AR
Poinsett,3149,1878,100%,AR
Belchertown,3140,4366,100%,MA
Brookline,3137,23913,100%,MA
Newburyport,3125,7404,100%,MA
Hanson,3124,2430,100%,MA
Emmet,3121,1356,100%,IA
Monona,3115,1244,100%,IA
East Greenwich,3114,4004,100%,RI
Belmont,3102,10233,100%,MA
Benewah,3101,780,100%,ID
Pepperell,3096,2929,100%,MA
Cuming,3095,712,100%,NE
Latimer,3094,797,100%,OK
Rock,3091,1373,100%,MN
Palmer,3083,2475,100%,MA
Bath,3082,1361,100%,KY
Hertford,3081,6886,100%,NC
Johnston,3081,782,100%,OK
Palo Alto,3079,1395,100%,IA
Randolph,3070,11362,100%,MA
Butler,3068,690,100%,NE
Rio Grande,3060,1985,100%,CO
Louisa,3060,1643,100%,IA
Coventry,3057,3067,100%,CT
Jefferson,3057,3809,100%,GA
Hamilton,3056,479,100%,TX
Owyhee,3052,591,100%,ID
Pierce,3052,382,100%,NE
Brunswick,3045,4473,100%,VA
Spencer,3044,2265,100%,MA
Lamb,3040,770,100%,TX
Stephens,3033,348,100%,TX
Alamosa,3031,3168,100%,CO
Essex,3030,6753,100%,VT
Seward,3025,1491,100%,KS
Windsor Locks,3022,2789,100%,CT
Crawford,3013,1323,100%,IN
Griswold,3011,1934,100%,CT
Lemhi,3011,733,100%,ID
Haywood,3010,3704,100%,TN
Winchester,3009,1861,100%,CT
Lake,3001,628,100%,OR
Sierra,2998,1600,100%,NM
Glades,2996,1271,100%,FL
Walsh,2991,1166,100%,ND
Coffey,2990,719,100%,KS
Wrentham,2990,3025,100%,MA
Otero,2988,1719,100%,CO
Perry,2979,1035,100%,AR
Murray,2974,1295,100%,MN
Jack,2973,314,100%,TX
Marion,2968,1156,100%,TX
Granby,2967,3114,100%,CT
Tyler,2967,505,100%,WV
Shannon,2966,776,100%,MO
Harrison,2965,574,100%,MO
Ipswich,2964,4820,100%,MA
Swift,2962,1679,100%,MN
Newton,2961,978,100%,TX
Northborough,2959,5085,100%,MA
Karnes,2959,1144,100%,TX
Weare,2957,1734,100%,NH
Southwick,2956,1859,100%,MA
Searcy,2955,601,100%,AR
Easthampton,2954,6210,100%,MA
Charlottesville,2951,17865,100%,VA
Charlton,2950,1004,100%,GA
Chariton,2948,888,100%,MO
Medway,2945,4000,100%,MA
Woods,2945,521,100%,OK
Jones,2941,2041,100%,NC
Major,2940,310,100%,OK
Turner,2937,961,100%,SD
Lake,2932,3077,100%,MN
Clearwater,2925,1100,100%,MN
Love,2920,735,100%,OK
Merrick,2914,601,100%,NE
Hopkinton,2911,5358,100%,MA
Deaf Smith,2911,1185,100%,TX
Washakie,2911,532,100%,WY
Skamania,2910,2207,100%,WA
Valley,2906,1913,100%,ID
Harney,2904,682,100%,OR
Weston,2898,294,100%,WY
Warren,2896,839,100%,IN
Kit Carson,2894,526,100%,CO
Blaine,2884,711,100%,OK
Barrington,2883,6129,100%,RI
Sutton,2881,2287,100%,MA
Newton,2875,699,100%,AR
Lucas,2873,1236,100%,IA
Standish,2873,2144,100%,ME
Dudley,2865,2109,100%,MA
Brown,2861,850,100%,KS
Cloud,2856,744,100%,KS
Clearwater,2852,704,100%,ID
Gates,2851,2371,100%,NC
Glocester,2851,1917,100%,RI
Saline,2849,1630,100%,NE
Oscoda,2843,1044,100%,MI
Thomas,2832,467,100%,KS
Clay,2831,665,100%,KS
Leicester,2825,2422,100%,MA
Wallowa,2825,1097,100%,OR
Pratt,2824,769,100%,KS
Greene,2819,1688,100%,IA
Norwell,2819,3264,100%,MA
Maverick,2816,10397,100%,TX
Acushnet,2808,2358,100%,MA
Wells,2803,3269,100%,ME
Stevens,2800,2116,100%,MN
Lafayette,2795,515,100%,FL
Lunenburg,2792,2916,100%,MA
Okfuskee,2791,943,100%,OK
Lyon,2789,1045,100%,KY
Lee,2789,5170,100%,SC
Hancock,2788,1244,100%,KY
Forest,2787,1583,100%,WI
Old Saybrook,2784,3207,100%,CT
Rio Blanco,2782,433,100%,CO
Edwards,2777,432,100%,IL
Burlington,2773,2352,100%,CT
Trimble,2771,879,100%,KY
Watonwan,2768,1814,100%,MN
Sunflower,2768,6560,100%,MS
Daviess,2763,730,100%,MO
Choctaw,2763,1198,100%,MS
Lincoln,2759,1271,100%,GA
Juab,2759,436,100%,UT
Leflore,2757,6677,100%,MS
Ashland,2751,5638,100%,MA
Lisbon,2749,1697,100%,ME
Wilson,2747,550,100%,KS
Seabrook,2743,1595,100%,NH
Adams,2740,1118,67%,WA
Middletown,2734,4216,100%,RI
Rutland,2734,3495,100%,VT
White Pine,2723,707,100%,NV
Davis,2721,976,100%,IA
Westborough,2721,5911,100%,MA
Litchfield,2720,1923,100%,NH
Antelope,2717,381,100%,NE
Clinton,2715,3707,100%,MA
Irwin,2711,890,100%,GA
Bracken,2711,705,100%,KY
Clarke,2706,1463,100%,IA
Taos,2706,10550,100%,NM
Morrow,2698,1004,100%,OR
Valley,2697,886,100%,MT
Cumberland,2693,2032,100%,VA
Pocahontas,2692,962,100%,IA
Northampton,2686,3255,100%,VA
Douglas,2685,1780,100%,MA
Franklin,2685,1471,100%,MS
Richardson,2684,798,100%,NE
Claremont,2680,2529,100%,NH
Wayne,2675,828,100%,NE
Boise,2673,777,100%,ID
East Windsor,2670,2510,100%,CT
Montgomery,2668,847,100%,GA
Middleton,2662,2141,100%,MA
Candler,2661,1023,100%,GA
Essex,2657,2541,100%,VA
Ida,2655,792,100%,IA
Rice,2652,668,100%,KS
Derby,2651,2332,100%,CT
McCormick,2651,2479,100%,SC
San Juan,2651,7053,83%,WA
Kennebunk,2648,4224,100%,ME
Thompson,2646,1579,100%,CT
Freetown,2641,2018,100%,MA
Radford,2637,2923,100%,VA
Dawson,2636,835,100%,TX
Monroe,2635,1053,100%,IA
San Juan,2635,1997,95%,UT
Falmouth,2633,4877,100%,ME
Middlebury,2630,1664,100%,CT
Ochiltree,2628,274,100%,TX
Long,2623,1356,100%,GA
Cherry,2623,317,100%,NE
San Augustine,2620,907,100%,TX
Newport,2619,6242,100%,RI
Goliad,2618,973,100%,TX
Carson,2617,249,100%,TX
Thomaston,2616,1152,100%,CT
Howard,2611,1674,100%,IA
Canton,2601,3100,100%,CT
Doniphan,2601,584,100%,KS
Atkinson,2595,1671,100%,NH
Kiowa,2593,766,100%,OK
Socorro,2592,3275,100%,NM
Carroll,2588,1106,100%,KY
Brewer,2585,2165,100%,ME
Alger,2585,1663,100%,MI
Southbridge,2582,3712,100%,MA
Swampscott,2581,5503,100%,MA
Benton,2579,860,100%,IN
Montgomery,2573,735,100%,AR
Bland,2572,453,100%,VA
Wilkes,2569,1844,100%,GA
Colfax,2569,2118,100%,NM
Washington,2560,3490,100%,NC
Dawes,2559,785,100%,NE
Switzerland,2558,930,100%,IN
Tucker,2557,750,100%,WV
Haddam,2556,2141,100%,CT
Windham,2556,5375,100%,CT
Schoolcraft,2556,1369,100%,MI
Hebron,2555,2627,100%,CT
Early,2552,2165,100%,GA
Mountrail,2551,1211,100%,ND
Townsend,2550,2082,100%,MA
Holliston,2547,5228,100%,MA
McCulloch,2546,480,100%,TX
Russell,2544,454,100%,KS
Liberty,2542,651,100%,FL
Ward,2541,780,100%,TX
Buxton,2538,1895,100%,ME
Acton,2536,9096,100%,MA
Rappahannock,2532,1741,100%,VA
Plaistow,2531,1672,100%,NH
Osceola,2528,552,100%,IA
Van Buren,2524,843,100%,IA
Shelby,2524,606,100%,MO
Schuyler,2523,1074,100%,IL
Pitkin,2522,7239,100%,CO
Johnson,2519,1136,100%,GA
Kearney,2519,550,100%,NE
Hutchinson,2517,692,100%,SD
Fall River,2511,821,100%,SD
Kingman,2507,594,100%,KS
Gilford,2504,1973,100%,NH
Prairie,2503,812,100%,AR
Cumberland,2502,459,100%,KY
St. Helena,2497,3353,100%,LA
Portland,2491,2493,100%,CT
East Haddam,2487,2331,100%,CT
Bottineau,2482,734,100%,ND
Sudbury,2479,7257,100%,MA
Pocahontas,2474,924,100%,WV
Barrington,2469,2375,100%,NH
Jeff Davis,2466,3720,100%,MS
Pecos,2463,1551,100%,TX
Tallahatchie,2462,3337,100%,MS
Cleveland,2460,723,100%,AR
Clark,2458,724,100%,MO
Adair,2456,1127,100%,IA
Lincoln,2455,1252,100%,AR
Norfolk,2455,2929,100%,MA
Durham,2450,6501,100%,NH
Telfair,2449,1313,100%,GA
Union,2445,715,100%,IN
Phillips,2443,4292,100%,AR
Worth,2443,1523,100%,IA
Gallatin,2443,749,100%,KY
Pulaski,2436,1104,100%,GA
Mansfield,2433,8309,100%,CT
Clear Creek,2426,2585,100%,CO
Coahoma,2426,6378,100%,MS
Colchester,2425,4456,100%,VT
Waterville,2422,4163,100%,ME
Sharon,2419,7096,100%,MA
Modoc,2413,798,100%,CA
Trinity,2409,1876,100%,CA
Evans,2404,1130,100%,GA
Reynolds,2402,540,100%,MO
Fremont,2401,959,100%,IA
Medfield,2400,4409,100%,MA
Sturbridge,2400,2509,100%,MA
Gray,2397,2021,100%,ME
Red River,2391,1938,100%,LA
Somersworth,2389,2643,100%,NH
Pendleton,2388,726,100%,WV
Jefferson,2387,831,100%,NE
Anderson,2386,665,100%,KS
Holbrook,2385,2912,100%,MA
Charles Mix,2382,935,100%,SD
Grant,2381,970,100%,SD
Scott,2378,507,100%,AR
Clay,2373,470,100%,NE
Brewster,2370,3813,100%,MA
Burt,2360,928,100%,NE
Litchfield,2359,2067,100%,CT
Wabaunsee,2358,773,100%,KS
Hull,2351,3669,100%,MA
Doddridge,2347,360,100%,WV
Seminole,2343,1186,100%,GA
Rutland,2343,2020,100%,MA
Pleasants,2342,620,100%,WV
Montgomery,2334,1775,100%,MS
Wilkinson,2332,1893,100%,GA
Athol,2329,2074,100%,MA
Broadwater,2329,566,100%,MT
Topsham,2328,3109,100%,ME
Blackstone,2327,1850,100%,MA
Moore,2325,496,100%,TN
Carter,2323,436,100%,MO
Sullivan,2318,756,100%,PA
Winchendon,2310,1787,100%,MA
Hollis,2310,2529,100%,NH
Gentry,2304,605,100%,MO
Sterling,2302,2136,100%,MA
San Miguel,2302,7249,100%,NM
Conway,2301,2743,100%,NH
Boone,2299,414,100%,NE
Decatur,2296,1201,100%,IA
Lac Qui Parle,2294,1301,100%,MN
Halifax,2293,1776,100%,MA
Clay,2289,566,100%,WV
Washington,2284,289,100%,CO
Howard,2284,544,100%,NE
Webster,2284,554,100%,WV
Woodstock,2281,1945,100%,CT
Hartford,2276,27425,100%,CT
Caribou,2275,271,100%,ID
Traill,2263,1239,100%,ND
Ottawa,2261,424,100%,KS
Georgetown,2260,2314,100%,MA
Monson,2252,1907,100%,MA
Kane,2248,739,100%,UT
Salisbury,2241,2094,100%,MA
Benton,2240,1713,100%,MS
New Hartford,2238,1642,100%,CT
Pepin,2228,1345,100%,WI
Starr,2218,9246,100%,TX
Mitchell,2216,469,100%,KS
Richmond,2213,1347,100%,VA
Bedford,2211,5085,100%,MA
Rosebud,2211,969,100%,MT
Quay,2208,1016,100%,NM
Pembina,2204,681,100%,ND
Bear Lake,2203,255,100%,ID
Alton,2201,1152,100%,NH
Phillips,2200,296,100%,KS
Bamberg,2197,3886,100%,SC
Boxford,2194,2454,100%,MA
Sheridan,2192,286,100%,NE
Belmont,2192,1272,100%,NH
Ware,2189,1852,100%,MA
Waterboro,2189,1373,100%,ME
Plainville,2188,2169,100%,MA
Houston,2180,865,100%,TN
Ferry,2178,1091,100%,WA
Wolfeboro,2176,1871,100%,NH
Stanton,2173,417,100%,NE
Colfax,2171,857,100%,NE
Hermon,2170,1101,100%,ME
Perry,2167,597,100%,TN
Bradley,2163,1317,100%,AR
Westminster,2162,1947,100%,MA
Teton,2161,2157,100%,ID
Meredith,2160,1709,100%,NH
Baraga,2158,1156,100%,MI
Henderson,2153,1151,100%,IL
Teton,2152,803,100%,MT
Lee,2151,444,100%,KY
Dighton,2149,1602,100%,MA
Martinsville,2149,3531,100%,VA
West Bridgewater,2148,1623,100%,MA
Old Orchrd Bch,2147,2978,100%,ME
Greenwood,2146,484,100%,KS
Sandown,2144,1207,100%,NH
Roberts,2142,1539,100%,SD
Clay,2140,707,100%,TN
Craig,2139,541,100%,VA
Durham,2138,1850,100%,CT
Washington,2136,378,100%,KS
Audubon,2135,1079,100%,IA
Groton,2133,3863,100%,MA
Easton,2131,2203,100%,CT
Wilkin,2129,893,100%,MN
Hopkinton,2127,1757,100%,RI
Bow,2119,2570,100%,NH
Ohio,2118,686,100%,IN
Epping,2117,1625,100%,NH
Lebanon,2115,1583,100%,CT
Ellsworth,2113,1809,100%,ME
Clay,2109,2608,100%,SD
Taylor,2108,755,100%,IA
Harwinton,2107,1131,100%,CT
Caribou,2106,1595,100%,ME
Presque Isle,2105,1779,100%,ME
Bon Homme,2105,704,100%,SD
Hampden,2103,1929,100%,ME
Winslow,2100,1825,100%,ME
Fillmore,2100,610,100%,NE
Trousdale,2099,943,100%,TN
Wilcox,2096,852,100%,GA
Turner,2094,1243,100%,GA
Carlisle,2094,432,100%,KY
Greenfield,2094,5546,100%,MA
Iron,2090,1273,100%,WI
Redding,2088,3127,100%,CT
Wheeler,2087,194,100%,TX
Berwick,2086,1539,100%,ME
Burlington,2082,14519,100%,VT
Kingston,2081,1422,100%,NH
Mono,2080,2696,100%,CA
Brewster,2073,1869,100%,TX
Wayne,2069,719,100%,IA
Ontonagon,2069,1175,100%,MI
Tripp,2069,462,100%,SD
Nemaha,2068,765,100%,NE
Grant,2063,1104,100%,MN
Taylor,2062,1295,100%,GA
Custer,2059,797,100%,CO
Atchison,2059,541,100%,MO
King and Queen,2059,1451,100%,VA
South Burlington,2059,7246,100%,VT
Sussex,2055,2874,100%,VA
Cotton,2054,424,100%,OK
Brooklyn,2052,1462,100%,CT
Templeton,2051,1507,100%,MA
Hamlin,2051,555,100%,SD
Franklin,2049,1487,100%,NH
Richmond,2048,1708,100%,RI
Skowhegan,2046,1674,100%,ME
Sherman,2043,340,100%,KS
Dixon,2041,556,100%,NE
Twiggs,2034,1970,100%,GA
Auburn,2031,1307,100%,NH
San Saba,2025,293,100%,TX
Calhoun,2023,456,100%,WV
Polk,2019,411,100%,NE
Pickett,2019,536,100%,TN
Powell,2017,549,100%,MT
Menifee,2010,700,100%,KY
Turner,2010,1083,100%,ME
Stratham,2005,2593,100%,NH
Beacon Falls,2002,1146,100%,CT
Nevada,2001,1156,100%,AR
Elliott,2000,740,100%,KY
Old Lyme,1999,2498,100%,CT
Rooks,1999,273,100%,KS
Republic,1993,370,100%,KS
Thayer,1993,490,100%,NE
McHenry,1991,474,100%,ND
Beaver,1987,176,100%,OK
Lanier,1984,805,100%,GA
Brookfield,1983,1576,50%,CT
Warren,1982,2672,100%,RI
Scott,1965,528,100%,IL
Dewey,1964,222,100%,OK
Musselshell,1961,331,100%,MT
Rindge,1961,1292,100%,NH
Nicholas,1957,787,100%,KY
Harper,1950,388,100%,KS
Loudon,1950,1136,100%,NH
Mills,1949,242,100%,TX
Bennington,1949,3361,100%,VT
Concord,1948,8246,100%,MA
Lebanon,1945,939,100%,ME
Tillman,1944,657,100%,OK
Killingworth,1943,1895,100%,CT
Gallatin,1942,656,100%,IL
West Greenwich,1942,1151,100%,RI
Dooly,1941,1860,100%,GA
Hot Springs,1939,400,100%,WY
Westbrook,1936,1699,100%,CT
Putnam,1936,352,100%,MO
Groveland,1934,1822,100%,MA
Grand,1934,1932,100%,UT
Ellsworth,1933,515,100%,KS
Alfalfa,1931,216,100%,OK
Lincoln,1930,860,100%,MN
Madison,1927,2744,100%,LA
Holt,1926,346,100%,MO
New London,1924,6305,100%,CT
Marion,1921,1213,100%,GA
Williamsburg,1921,5199,100%,VA
Pembroke,1919,1810,100%,NH
Desha,1915,2227,100%,AR
Furnas,1915,304,100%,NE
Parmer,1911,848,100%,TX
Berkley,1906,1430,100%,MA
Jefferson,1905,365,100%,OK
Wirt,1903,383,100%,WV
Florence,1897,666,100%,WI
Charlestown,1896,2189,100%,RI
Walworth,1896,457,100%,SD
Southborough,1895,3500,100%,MA
New Ipswich,1894,769,100%,NH
Greenlee,1892,1092,100%,AZ
Jenkins,1892,1108,100%,GA
Nantucket,1892,4144,100%,MA
Coal,1892,411,100%,OK
Millis,1890,2620,100%,MA
Gilmer,1889,537,100%,WV
Miller,1888,622,100%,GA
Moultonborough,1888,1148,100%,NH
Conejos,1885,1753,100%,CO
Sullivan,1884,526,100%,MO
Littleton,1876,3445,100%,MA
Huerfano,1875,1631,100%,CO
Lincoln,1873,399,100%,CO
Atkinson,1873,696,100%,GA
Terrell,1872,2267,100%,GA
Pawnee,1872,567,100%,KS
Northampton,1870,13200,100%,MA
Barre Town,1862,1760,100%,VT
Spink,1854,919,100%,SD
Putnam,1845,1562,100%,CT
Hancock,1842,322,100%,TN
Lebanon,1841,4898,100%,NH
Beaver,1838,264,100%,UT
West Boylston,1837,2137,100%,MA
Newmarket,1836,3157,100%,NH
Delta,1836,400,100%,TX
Big Horn,1833,2061,100%,MT
Scott,1832,232,100%,KS
Refugio,1830,1034,100%,TX
Swanzey,1828,1807,100%,NH
Lander,1828,403,100%,NV
Grant,1827,287,100%,OK
Barber,1822,281,100%,KS
Ringgold,1820,753,100%,IA
Van Buren,1820,539,100%,TN
Mattapoisett,1818,2102,100%,MA
Woodbridge,1814,3333,100%,CT
Exeter,1813,1463,100%,RI
Rowley,1809,1679,100%,MA
Treutlen,1808,860,100%,GA
Norton,1808,277,100%,KS
Upton,1808,2284,100%,MA
Wolfe,1804,753,100%,KY
Childress,1802,253,100%,TX
Yoakum,1797,426,100%,TX
Chatham,1796,2395,100%,MA
Hamilton,1795,752,100%,NY
McCook,1794,623,100%,SD
Wells,1793,419,100%,ND
New Boston,1792,1381,100%,NH
Phillips,1791,436,100%,CO
Morris,1790,586,100%,KS
Morrill,1788,282,100%,NE
Pondera,1786,737,100%,MT
Farmington,1785,1127,100%,NH
Surry,1785,2069,100%,VA
Milton,1783,1950,100%,VT
Mitchell,1780,353,100%,TX
Kemper,1778,2827,100%,MS
Custer,1777,427,100%,ID
Stark,1777,748,100%,IL
Brown,1776,475,100%,IL
Valley,1770,337,100%,NE
Marlborough,1766,1687,100%,CT
Berlin,1766,1954,100%,NH
Putnam,1762,1143,100%,IL
Luce,1756,681,100%,MI
Grant,1755,427,100%,KS
Cumberland,1755,3184,100%,ME
Dunn,1753,356,100%,ND
Lowndes,1751,4882,100%,AL
Lafayette,1750,1028,100%,AR
Kittery,1746,3471,100%,ME
Fairfield,1745,1250,100%,ME
Wakefield,1741,873,100%,NH
Rochester,1739,1366,100%,MA
Wilcox,1737,4329,100%,AL
Greensville,1737,2558,100%,VA
Deer Lodge,1736,2018,100%,MT
Manassas Park,1732,3218,100%,VA
Hansford,1730,171,100%,TX
Moody,1729,1042,100%,SD
Chester,1727,1092,100%,NH
Hartley,1727,172,100%,TX
Clinch,1724,685,100%,GA
Roosevelt,1722,1504,100%,MT
Calhoun,1719,739,100%,IL
Chicot,1716,2350,100%,AR
Baca,1716,278,100%,CO
Newbury,1716,2464,100%,MA
Oakland,1715,1442,100%,ME
Phillips,1715,315,100%,MT
Nuckolls,1709,348,100%,NE
Eliot,1704,2257,100%,ME
Sabattus,1701,865,100%,ME
Norman,1699,1264,100%,MN
Kimble,1697,206,100%,TX
Mendon,1694,1528,100%,MA
Southampton,1692,1744,100%,MA
Poland,1685,1244,100%,ME
Granby,1684,1620,100%,MA
Bloomfield,1683,9637,100%,CT
Forest,1680,626,100%,PA
Kingsbury,1680,703,100%,SD
Wayland,1679,6043,100%,MA
Pope,1678,374,100%,IL
Winthrop,1677,1683,100%,ME
Chouteau,1676,729,100%,MT
Emmons,1672,215,100%,ND
Lincoln,1671,285,100%,NV
Swisher,1671,462,100%,TX
Maynard,1670,3849,100%,MA
Power,1666,699,100%,ID
Newport,1665,1085,100%,NH
Hickman,1657,449,100%,KY
New Gloucester,1657,1350,100%,ME
Dickey,1656,551,100%,ND
Mason,1656,353,100%,TX
Gray,1651,257,100%,KS
Hardin,1650,419,100%,IL
Lancaster,1650,1840,100%,MA
Bethany,1646,1580,100%,CT
Freeport,1644,3442,100%,ME
Hampden,1643,1188,100%,MA
Weston,1642,4301,100%,MA
Smith,1635,295,100%,KS
Weston,1632,3807,100%,CT
Day,1627,974,100%,SD
Cohasset,1621,2881,100%,MA
Chase,1621,171,100%,NE
Essex,1620,2291,100%,CT
Merrimac,1618,1884,100%,MA
South Berwick,1616,2227,100%,ME
Storey,1616,752,100%,NV
Ellis,1610,155,100%,OK
Canterbury,1609,932,100%,CT
Big Stone,1607,921,100%,MN
Deerfield,1607,1091,100%,NH
Galax,1603,680,100%,VA
Gregory,1600,391,100%,SD
Glacier,1598,3076,100%,MT
Cape Elizabeth,1593,4480,100%,ME
Newton,1593,991,100%,NH
Fremont,1591,965,100%,NH
Hillsborough,1588,1198,100%,NH
Pulaski,1583,817,100%,IL
Sumter,1581,4739,100%,AL
Sweet Grass,1580,398,100%,MT
Danville,1580,860,100%,NH
Rye,1579,2211,100%,NH
Garfield,1577,352,100%,UT
Lincoln,1574,704,100%,ME
Houlton,1573,940,100%,ME
Bath,1571,2733,100%,ME
North Adams,1567,3719,100%,MA
Topsfield,1566,2070,100%,MA
Brule,1565,571,100%,SD
Gilpin,1564,1634,100%,CO
Stevens,1564,215,100%,KS
North Stonington,1558,1282,100%,CT
Chelsea,1558,7395,100%,MA
Adams,1556,415,100%,ID
Calhoun,1554,636,100%,AR
Candia,1553,855,100%,NH
Chautauqua,1552,236,100%,KS
Fulton,1549,774,100%,KY
Bath,1548,603,100%,VA
Epsom,1546,919,100%,NH
Roger Mills,1546,151,100%,OK
Lynn,1546,403,100%,TX
Greene,1542,810,100%,ME
Willacy,1541,3416,100%,TX
Macon,1540,2705,100%,GA
Orange,1540,1482,100%,MA
Lake of the Woods,1540,553,100%,MN
Oneida,1531,184,100%,ID
Scotland,1525,365,100%,MO
Ashburnham,1522,1439,100%,MA
Barnstead,1520,924,100%,NH
Old Town,1514,2029,100%,ME
Orleans,1511,2686,100%,MA
Nottingham,1511,1365,100%,NH
Springfield,1509,1861,100%,VT
Dallas,1507,1165,100%,AR
Schuyler,1505,354,100%,MO
Yarmouth,1502,3701,100%,ME
Brookline,1501,1417,100%,NH
Columbia,1500,1558,100%,CT
Ayer,1498,2162,100%,MA
Hanson,1497,424,100%,SD
Alexander,1496,1262,100%,IL
Toole,1495,399,100%,MT
Cameron,1495,469,100%,PA
Columbia,1491,523,100%,WA
Mercer,1486,216,100%,MO
Stafford,1485,303,100%,KS
Farmington,1483,1979,100%,ME
Greer,1482,323,100%,OK
Williston,1481,3508,100%,VT
Hamilton,1475,2626,100%,MA
LaMoure,1475,500,100%,ND
Owsley,1474,256,100%,KY
Bridgton,1474,1224,100%,ME
Floyd,1473,435,100%,TX
Schley,1472,401,100%,GA
Hemphill,1460,181,100%,TX
Catron,1453,426,100%,NM
Martin,1453,266,100%,TX
North Hampton,1448,1562,100%,NH
Petersburg,1448,12005,100%,VA
Orono,1445,3420,100%,ME
Bowman,1445,227,100%,ND
Osborne,1437,231,100%,KS
Bolton,1436,1385,100%,CT
Littleton,1436,1241,100%,NH
Pierce,1433,431,100%,ND
Edmunds,1433,380,100%,SD
Buena Vista,1432,693,100%,VA
Barre,1429,1201,100%,MA
Hopkinton,1427,2240,100%,NH
Shirley,1425,1615,100%,MA
Wheeler,1421,646,100%,GA
Franklin City,1421,2516,100%,VA
North Berwick,1419,1165,100%,ME
Reeves,1417,1659,100%,TX
North Brookfield,1413,906,100%,MA
Knox,1413,379,100%,MO
Castro,1413,526,100%,TX
Glenburn,1411,933,100%,ME
